"","tad","lambdan","pvalue","n","max.lambdan"
"1","chr10:46940000-47760000","-1.1143814978999034","0.2651155573559316","16","2.112147300195393"
"2","chr10:127610000-128300000","-0.7921030245862185","0.4283006066559565","14","1.8037390652475997"
"3","chr10:9370000-10880000","-0.7297147932210941","0.4655645367672646","31","2.0493532601244357"
"4","chr10:21560000-23380000","-2.910611606803618","0.0036072211102331545","37","3.0651320336244208"
"5","chr10:73800000-74970000","-1.8969650814415961","0.05783254683850709","24","2.6357810213335626"
"6","chr10:132020000-133370000","-0.47125761018187423","0.6374567828784512","28","1.7944072808906537"
"7","chr10:38100000-38670000","-0.16173596997677867","0.8715137774986303","12","1.7030141404304822"
"8","chr10:64190000-65540000","-1.3718182436518283","0.1701200264596232","28","2.1419946307849473"
"9","chr10:45730000-46320000","-0.8136069088618875","0.41587017871257237","13","1.9165185670373113"
"10","chr10:13390000-15200000","-1.8890752756785447","0.05888174284887424","37","2.4686966528506216"
"11","chr10:23420000-24850000","-0.49092443339890673","0.62347989511746","29","1.8932885910755333"
"12","chr10:77030000-78870000","-1.211979603414906","0.22552018838172772","38","2.1188628584138316"
"13","chr10:14530000-15200000","-0.917611112660792","0.35882249793470344","14","2.0598066591770112"
"14","chr10:133960000-135470000","-2.590627423797461","0.009580114749324957","31","2.5127519920413106"
"15","chr10:57590000-58680000","-1.4993916952974569","0.13377204676386278","23","2.1748931774911857"
"16","chr10:73660000-74980000","-1.6062617765116658","0.10821640497520808","27","2.5235454491291267"
"17","chr10:120780000-121670000","-0.5903277553203353","0.554970934936114","19","1.9306920370500826"
"18","chr10:44140000-45380000","-1.103750315559077","0.26970146273114526","26","2.0192695546904904"
"19","chr10:78890000-79780000","-1.3779671174907426","0.1682134407462066","19","2.1106193636286297"
"20","chr10:81250000-82030000","-0.7209766140774361","0.47092390326204603","16","2.0005210893076812"
"21","chr10:19190000-19960000","-0.6869784969192495","0.4920962789833989","17","1.840949743325576"
"22","chr10:26590000-27650000","-1.2486330792146512","0.21179930767704558","22","2.264606903873066"
"23","chr10:12220000-13140000","-0.08343554346534299","0.9335052274299457","19","1.8063360018773924"
