,tad,lambdan,p-value,n,max.lambdan
1007,chr1:55750000-57180000,-4.686223951,2.78E-06,29,3.292297142
483,chr14:105520000-107280000,-4.581578404,4.61E-06,36,3.07568117
1313,chrX:43770000-45090000,4.521966122,6.13E-06,27,3.043801948
1484,chr2:7220000-8910000,-4.418434319,9.94E-06,35,3.066819258
4,chr10:21560000-23380000,3.635018649,0.000277961,37,3.065132034
1173,chr20:25410000-26290000,-3.326178814,0.000880454,18,2.837992158
663,chr16:88650000-90150000,-3.024877345,0.00248734,30,2.905829707
1648,chr3:113840000-115550000,2.870621942,0.004096652,35,2.759500277
1450,chr2:173800000-175260000,2.716210091,0.0066034,30,2.797968959
1492,chr2:158120000-158870000,2.682448182,0.007308547,16,2.547490994
1179,chr20:47900000-48550000,-2.654114312,0.007951688,13,2.597222355
1447,chr2:57930000-58690000,2.647593716,0.008106689,16,2.68948156
2174,chr6:37280000-38740000,2.579005472,0.009908522,30,2.500304869
417,chr13:27510000-28570000,2.57620718,0.009989077,22,2.584690794
298,chr12:54150000-54850000,-2.567058357,0.010256535,14,2.433832467
2508,chr8:99520000-100890000,2.545379124,0.010915915,28,2.928196006
2145,chr6:38850000-41010000,-2.536764784,0.01118821,44,2.725707044
987,chr1:175000000-176210000,2.500952628,0.012385974,25,2.751806656
1263,chr21:47560000-48110000,-2.475041361,0.013322075,12,2.499365532
1640,chr3:169480000-170580000,2.462359417,0.013802627,23,2.570932183
835,chr18:8580000-9780000,2.452652546,0.014180724,25,2.718936137
5,chr10:73800000-74970000,-2.344394228,0.019058015,24,2.635781021
1753,chr3:126360000-127260000,-2.276082358,0.022841081,19,2.519359343
2127,chr6:117630000-119170000,2.210712775,0.027055733,32,2.404782026
1046,chr1:111400000-112320000,2.121387043,0.033889245,19,2.467806763
281,chr12:110330000-111280000,2.11057825,0.034808579,20,2.438570767
22,chr10:26590000-27650000,2.090861364,0.036540493,22,2.264606904
1023,chr1:90530000-91660000,2.046333603,0.04072356,24,2.704877059
16,chr10:73660000-74980000,-2.031747043,0.042179271,27,2.523545449
2147,chr6:13830000-15640000,2.02623679,0.042740525,37,2.749390926
1856,chr4:17510000-18610000,2.012282565,0.044190159,23,2.438251939
1513,chr2:160030000-160840000,1.975973289,0.048157803,17,2.402007389
2648,chr9:98040000-99000000,1.959352173,0.050071558,20,2.456377935
1058,chr1:161750000-162450000,1.942634445,0.052060342,14,2.292029068
694,chr16:740000-1980000,-1.942115106,0.052123167,26,2.478531421
1455,chr2:84650000-85540000,1.937376725,0.05269931,18,2.499673528
940,chr19:38880000-39430000,-1.935444355,0.052935791,12,2.355718702
1400,chr2:29050000-30300000,-1.870141382,0.061464187,25,2.452543173
293,chr12:98930000-99410000,1.866214635,0.062011342,11,2.372577824
2136,chr6:56200000-57200000,1.85280307,0.06391059,20,2.426599845
1466,chr2:60970000-62110000,1.836360517,0.066304355,24,2.573785893
2600,chr9:101910000-103110000,1.796195404,0.072463445,25,2.753908639
1402,chr2:29150000-30300000,-1.794557487,0.072724232,23,2.417402254
301,chr12:45510000-46360000,1.772739716,0.076271847,18,2.410411726
920,chr19:52340000-53470000,1.762487819,0.077986913,24,2.528967359
1478,chr2:13190000-14680000,1.753373181,0.079537971,31,2.852653608
1857,chr4:41940000-42890000,1.746315824,0.080756088,20,2.423614373
2203,chr6:70990000-71720000,1.735505204,0.082651361,16,2.291855451
344,chr12:82770000-83540000,-1.697072582,0.089682939,16,2.239611401
846,chr18:48330000-49090000,1.686797551,0.091642287,16,2.409372957
2266,chr6:166640000-167130000,-1.678701554,0.093210223,11,2.204288832
2129,chr6:56460000-57200000,1.649124397,0.099122152,15,2.287550174
1950,chr4:16880000-17470000,1.639045753,0.101203731,13,2.28594501
975,chr1:221610000-222620000,1.638288181,0.101361592,21,2.175041922
124,chr11:114560000-116580000,1.632584583,0.102556396,41,2.2981486
2364,chr7:98490000-98950000,1.630197136,0.103059839,10,2.275459002
1578,chr2:148700000-149260000,1.623047454,0.104579261,12,2.294070892
1974,chr5:147230000-148660000,1.622794665,0.104633307,30,2.162195955
2480,chr8:24940000-26200000,1.617862921,0.105692143,26,2.234575705
245,chr12:104230000-105570000,-1.610872632,0.107207486,28,2.417723007
487,chr14:66820000-67810000,1.598149509,0.110009708,21,2.635000123
2105,chr5:76810000-77570000,1.591827448,0.111423481,16,2.479824704
1993,chr5:13960000-15020000,1.591345923,0.111531747,22,2.228857478
152,chr11:119260000-120030000,-1.583985863,0.113196936,16,2.192148685
585,chr15:72980000-74200000,1.577110763,0.114770041,25,2.415283049
