"chr"	"start"	"end"	"region"	"lambdan"	"pvalue"	"nd"	"BH"
"1"	"10"	80730000	83950000	"10:80730000-83950000"	50.5104212641099	0	129	0
"2"	"10"	52810000	57650000	"10:52810000-57650000"	62.1559537252498	0	194	0
"3"	"10"	104540000	109840000	"10:104540000-109840000"	151.271394536947	0	213	0
"4"	"10"	36910000	39550000	"10:36910000-39550000"	21.4148001006208	0	106	0
"5"	"10"	63860000	67550000	"10:63860000-67550000"	28.23276714551	0	148	0
"6"	"10"	75270000	76870000	"10:75270000-76870000"	7.31098264775735	5.99485826535684e-08	65	5.4803389339207e-07
"7"	"10"	25260000	26560000	"10:25260000-26560000"	10.5036798166885	3.38040706537868e-12	53	4.17516234351558e-11
"8"	"10"	33180000	34640000	"10:33180000-34640000"	8.18354482073069	4.8689585696593e-09	59	4.89425186093026e-08
"9"	"10"	50980000	52020000	"10:50980000-52020000"	10.211278803434	8.84725626093541e-12	42	1.05893448648928e-10
"10"	"10"	21980000	23090000	"10:21980000-23090000"	19.6896233523738	0	45	0
"11"	"10"	84540000	86380000	"10:84540000-86380000"	22.6624351047445	0	75	0
"12"	"10"	128190000	130100000	"10:128190000-130100000"	45.291335067886	0	77	0
"13"	"10"	1710000	2910000	"10:1710000-2910000"	2.7470336189726	0.00276038788482014	49	0.0149757492255896
"14"	"10"	3770000	4780000	"10:3770000-4780000"	3.67329458856014	0.000443735684481417	42	0.00271145857727855
"15"	"10"	8080000	9220000	"10:8080000-9220000"	-0.31539129609679	0.232295188390801	46	0.461894542042385
"16"	"10"	89780000	90860000	"10:89780000-90860000"	5.9105167528388	2.54786947995189e-06	44	2.08315244100292e-05
"17"	"10"	35610000	36870000	"10:35610000-36870000"	8.22929592454662	4.25341073473362e-09	51	4.29409553306586e-08
"18"	"10"	130210000	131870000	"10:130210000-131870000"	20.5379104081834	0	67	0
"19"	"10"	111120000	112110000	"10:111120000-112110000"	1.52909038794046	0.0222614135257616	41	0.0931369409131864
"20"	"10"	119950000	120880000	"10:119950000-120880000"	11.5904996939331	8.4821039081362e-14	38	1.1517804254206e-12
"21"	"10"	117490000	118250000	"10:117490000-118250000"	12.1852470303845	1.0547118733939e-14	31	1.56989805770553e-13
"22"	"10"	23550000	24180000	"10:23550000-24180000"	6.91485024158628	1.79478946815692e-07	26	1.60288505579245e-06
"23"	"10"	98470000	99270000	"10:98470000-99270000"	3.88705148618345	0.000286003122985878	33	0.00179972696903309
"24"	"10"	125840000	126510000	"10:125840000-126510000"	4.88552580009464	3.12152614224681e-05	28	0.000229372901971427
"25"	"10"	126780000	127440000	"10:126780000-127440000"	4.55889051784543	6.61770379043469e-05	27	0.000465645703072405
"26"	"10"	75300000	76040000	"10:75300000-76040000"	7.10120387014404	1.07515235825417e-07	30	9.7519678744773e-07
"27"	"10"	86390000	86630000	"10:86390000-86630000"	-0.659889823899849	0.318019170454279	11	0.534706656685627
"28"	"10"	44450000	44850000	"10:44450000-44850000"	-1.25621427508005	0.496060403804065	16	0.635329430575312
"29"	"10"	123580000	124390000	"10:123580000-124390000"	11.9397141148819	2.4980018054066e-14	33	3.62522512009633e-13
"30"	"10"	101240000	101560000	"10:101240000-101560000"	0.164704844506919	0.140076190901119	14	0.355860957628445
"31"	"10"	93900000	94310000	"10:93900000-94310000"	-0.416445688152786	0.255811536372827	17	0.485175733579308
"32"	"10"	60440000	60770000	"10:60440000-60770000"	-0.492525340546781	0.274430355334872	14	0.496282932311194
"33"	"10"	93540000	93860000	"10:93540000-93860000"	0.497644861647045	0.0943016777203903	14	0.278940758811142
"34"	"10"	92040000	92460000	"10:92040000-92460000"	-0.340657593443741	0.238042712727291	18	0.46518683883089
"35"	"10"	119610000	119900000	"10:119610000-119900000"	-1.55946027098458	0.592620269421527	12	0.67658905491126
"36"	"10"	17850000	18230000	"10:17850000-18230000"	-1.24005424804791	0.490936189617011	16	0.631305036087403
"37"	"10"	95970000	96330000	"10:95970000-96330000"	-0.255383376936999	0.219000070114261	16	0.448147811141135
"38"	"10"	3190000	3760000	"10:3190000-3760000"	0.302513207175305	0.119434713787792	24	0.324359538497373
"39"	"10"	113790000	114120000	"10:113790000-114120000"	0.60603802022333	0.0822694438879877	14	0.253019402262129
"40"	"10"	90890000	91270000	"10:90890000-91270000"	2.01492191626898	0.0101445181787834	16	0.0473003437974598
"41"	"10"	70460000	70880000	"10:70460000-70880000"	-0.419826612652389	0.256622372048834	18	0.486033562722179
"42"	"10"	112130000	112410000	"10:112130000-112410000"	-0.636918658143587	0.311831437000723	12	0.530067786761112
"43"	"10"	73830000	74110000	"10:73830000-74110000"	-0.483842625064223	0.272266529487407	12	0.495456803659686
"44"	"10"	84290000	84530000	"10:84290000-84530000"	-0.67599193668436	0.32239442756245	11	0.537608284265708
